,日付,始値,高値,安値,終値,出来高,調整後終値,
,2021-12-30,2,059,2,073,2,052,2,062,421,200,2,062,
,2021-12-29,2,079,2,082,2,052,2,061,597,100,2,061,
,2021-12-28,2,045,2,077,2,045,2,065,746,900,2,065,
,2021-12-27,2,062,2,064,2,036,2,042,675,100,2,042,
,2021-12-24,2,093,2,093,2,062,2,066,630,200,2,066,
,2021-12-23,2,091,2,098,2,071,2,085,664,300,2,085,
,2021-12-22,2,096,2,106,2,087,2,090,727,500,2,090,
,2021-12-21,2,105,2,119,2,099,2,108,1,084,500,2,108,
,2021-12-20,2,081,2,099,2,075,2,090,993,000,2,090,
,2021-12-17,2,114,2,130,2,084,2,112,2,077,600,2,112,
,2021-12-16,2,070,2,101,2,065,2,099,1,571,700,2,099,
,2021-12-15,2,030,2,058,2,027,2,058,1,080,100,2,058,
,2021-12-14,2,017,2,036,2,002,2,034,1,250,000,2,034,
,2021-12-13,2,013,2,013,1,990,1,999,1,015,600,1,999,
,2021-12-10,2,008,2,012,1,990,1,995,1,100,400,1,995,
,2021-12-09,1,991,2,009,1,985,1,996,800,000,1,996,
,2021-12-08,2,030,2,043,2,001,2,004,1,209,700,2,004,
,2021-12-07,1,974,2,021,1,969,2,015,1,916,700,2,015,
,2021-12-06,1,989,2,005,1,973,1,974,819,300,1,974,
,2021-12-03,1,955,1,983,1,942,1,978,1,281,500,1,978,
,2021-12-02,1,903,1,982,1,903,1,975,1,711,200,1,975,
,2021-12-01,1,920,1,946,1,900,1,904,2,121,100,1,904,
,2021-11-30,1,990,2,012,1,945,1,945,3,897,600,1,945,
,2021-11-29,1,984,2,015,1,977,1,993,1,781,300,1,993,
,2021-11-26,2,001,2,017,1,998,2,010,1,234,200,2,010,
,2021-11-25,1,980,2,015,1,975,2,011,1,083,800,2,011,
,2021-11-24,1,984,2,009,1,982,1,990,1,533,500,1,990,
,2021-11-22,1,966,1,988,1,953,1,980,1,549,400,1,980,
,2021-11-19,1,918,1,965,1,911,1,957,2,095,700,1,957,
,2021-11-18,1,930,1,945,1,907,1,936,1,682,100,1,936,
,2021-11-17,1,946,1,949,1,912,1,927,2,237,700,1,927,
,2021-11-16,1,973,1,987,1,946,1,952,1,736,900,1,952,
,2021-11-15,2,000,2,009,1,973,1,974,1,220,000,1,974,
,2021-11-12,1,981,2,004,1,977,1,991,1,664,200,1,991,
,2021-11-11,1,994,1,995,1,972,1,974,1,099,000,1,974,
